campaign_id,slum_code,matched_at
900001,SR900001,2026-07-26 10:05+06
900001,SR900002,2026-07-26 10:05+06
900002,SR900005,2026-08-29 11:35+06
900002,SR900006,2026-08-29 11:35+06
900003,SR900007,2026-09-03 09:25+06
900003,SR900008,2026-09-03 09:25+06
900004,SR900003,2026-09-08 15:50+06
900004,SR900004,2026-09-08 15:50+06
900005,SR900011,2026-09-10 10:20+06
900005,SR900012,2026-09-10 10:20+06
900006,SR900013,2026-09-11 14:05+06
900006,SR900014,2026-09-11 14:05+06
900007,SR900009,2026-08-08 12:35+06
900007,SR900010,2026-08-08 12:35+06
900008,SR900001,2026-07-09 16:25+06
900008,SR900002,2026-07-09 16:25+06
900009,SR900007,2026-08-16 09:45+06
900009,SR900008,2026-08-16 09:45+06
