complaint_id,slum_id,title,category,description,attachment_filename,attachment_mimetype,attachment_size,attachment_file,division,district,area,status,responded_by,created_at,updated_at
900001,SR900001,Damaged community water point,Water and Sanitation,The main water point has been leaking for three days and pressure is low in the morning.,demo.txt,text/plain,30,\x53796e74686574696320636f6d706c61696e742065766964656e6365,Dhaka,Dhaka,Korail,in progress,Dhaka North Community Support Cell,2026-09-05 08:20+06,2026-09-07 12:00+06
900002,SR900002,Blocked drainage beside lane 4,Drainage,Rainwater remains in the lane because the nearest drain is blocked with waste.,demo.txt,text/plain,30,\x53796e74686574696320636f6d706c61696e742065766964656e6365,Dhaka,Dhaka,Korail,resolved,Dhaka North Community Support Cell,2026-08-19 15:10+06,2026-08-24 10:30+06
900003,SR900003,Streetlight not working,Electricity,Two streetlights near the community learning centre are not working at night.,demo.txt,text/plain,30,\x53796e74686574696320636f6d706c61696e742065766964656e6365,Dhaka,Dhaka,Sattola,pending,,2026-09-12 19:10+06,2026-09-12 19:10+06
900004,SR900004,Irregular waste collection,Waste Management,Household waste has not been collected on the regular schedule this week.,demo.txt,text/plain,30,\x53796e74686574696320636f6d706c61696e742065766964656e6365,Dhaka,Dhaka,Sattola,in progress,Ward Support Desk,2026-09-08 09:45+06,2026-09-09 11:20+06
900005,SR900005,Unsafe footbridge,Infrastructure,Several boards on the footbridge are loose and unsafe for children.,demo.txt,text/plain,30,\x53796e74686574696320636f6d706c61696e742065766964656e6365,Dhaka,Dhaka,Kallyanpur,resolved,Dhaka North Community Support Cell,2026-08-10 13:30+06,2026-08-16 16:10+06
900006,SR900006,Need evening literacy class,Education,Several adult women want an evening literacy class near the community centre.,demo.txt,text/plain,30,\x53796e74686574696320636f6d706c61696e742065766964656e6365,Dhaka,Dhaka,Kallyanpur,pending,,2026-09-13 17:40+06,2026-09-13 17:40+06
900007,SR900007,Mosquito control required,Health and Sanitation,Mosquitoes have increased around standing water near blocks B and C.,demo.txt,text/plain,30,\x53796e74686574696320636f6d706c61696e742065766964656e6365,Dhaka,Dhaka,Bauniabadh,in progress,Ward Health Team,2026-09-01 18:25+06,2026-09-03 09:15+06
900008,SR900008,Community toilet needs repair,Water and Sanitation,One door and two taps in the women community toilet need repair.,demo.txt,text/plain,30,\x53796e74686574696320636f6d706c61696e742065766964656e6365,Dhaka,Dhaka,Bauniabadh,resolved,Ward Support Desk,2026-08-27 07:55+06,2026-09-02 15:00+06
900009,SR900009,Road becomes muddy after rain,Infrastructure,The entrance road becomes difficult for schoolchildren and riders after rainfall.,demo.txt,text/plain,30,\x53796e74686574696320636f6d706c61696e742065766964656e6365,Dhaka,Dhaka,Duip Colony,pending,,2026-09-11 10:05+06,2026-09-11 10:05+06
900010,SR900010,Request health screening camp,Healthcare,Older residents would benefit from blood pressure and diabetes screening.,demo.txt,text/plain,30,\x53796e74686574696320636f6d706c61696e742065766964656e6365,Dhaka,Dhaka,Duip Colony,resolved,Community Health Team,2026-08-04 14:20+06,2026-08-12 12:40+06
900011,SR900011,Exposed electrical cable,Electricity,An exposed cable is hanging beside the main path and needs urgent attention.,demo.txt,text/plain,30,\x53796e74686574696320636f6d706c61696e742065766964656e6365,Dhaka,Gazipur,Tongi Rail Colony,in progress,Local Electrical Team,2026-09-10 16:35+06,2026-09-10 18:00+06
900012,SR900012,School supply support needed,Education,Families need notebooks and basic school supplies before the next term.,demo.txt,text/plain,30,\x53796e74686574696320636f6d706c61696e742065766964656e6365,Dhaka,Gazipur,Tongi Rail Colony,pending,,2026-09-09 11:15+06,2026-09-09 11:15+06
900013,SR900013,Waterlogging near rail crossing,Drainage,Water remains near the crossing for several days after heavy rain.,demo.txt,text/plain,30,\x53796e74686574696320636f6d706c61696e742065766964656e6365,Chattogram,Chattogram,Sholoshohor Colony,in progress,City Response Desk,2026-09-06 08:50+06,2026-09-08 10:10+06
900014,SR900014,Need covered waste bins,Waste Management,Covered bins are needed near the food stalls to reduce odor and insects.,demo.txt,text/plain,30,\x53796e74686574696320636f6d706c61696e742065766964656e6365,Chattogram,Chattogram,Sholoshohor Colony,resolved,City Response Desk,2026-08-15 12:25+06,2026-08-21 09:45+06
