entry_id,session_id,campaign_id,org_id,family_code,round_no,quantity,comment,distributed_at,verification_method
900001,900001,900001,900001,SR900001,1,2,Two essential food packs issued.,2026-08-05 09:35+06,QR
900002,900001,900001,900001,SR900002,1,2,Two essential food packs issued.,2026-08-05 09:48+06,CODE
900003,900001,900001,900001,SR900003,1,3,Three food packs for a larger household.,2026-08-05 10:12+06,QR
900004,900001,900001,900001,SR900004,1,2,Verified household food support.,2026-08-05 10:27+06,CODE
900005,900001,900001,900001,SR900005,1,2,Verified household food support.,2026-08-05 11:05+06,QR
900006,900001,900001,900001,SR900006,1,2,Verified household food support.,2026-08-05 11:25+06,CODE
900007,900002,900001,900001,SR900001,1,1500,Emergency cash assistance in BDT.,2026-08-06 10:20+06,QR
900008,900002,900001,900001,SR900002,1,1500,Emergency cash assistance in BDT.,2026-08-06 10:38+06,CODE
900009,900002,900001,900001,SR900003,1,2000,Larger-household cash assistance.,2026-08-06 11:04+06,QR
900010,900003,900007,900003,SR900009,1,3,Oral saline and water purification supplies.,2026-08-20 11:35+06,CODE
900011,900003,900007,900003,SR900010,1,3,Oral saline and water purification supplies.,2026-08-20 12:10+06,QR
900012,900004,900002,900002,SR900005,1,,Attended tailoring workshop orientation.,2026-09-10 10:30+06,QR
900013,900004,900002,900002,SR900006,1,,Attended tailoring workshop orientation.,2026-09-10 10:42+06,CODE
900014,900004,900002,900002,SR900010,1,,Completed the first practical session.,2026-09-12 11:15+06,QR
900015,900005,900003,900003,SR900007,1,2,Child wellness kit and basic medicine.,2026-09-14 09:05+06,QR
900016,900005,900003,900003,SR900008,1,2,Child wellness kit and basic medicine.,2026-09-14 09:22+06,CODE
900017,900005,900003,900003,SR900003,1,3,Nutrition supplements after screening.,2026-09-14 10:10+06,QR
